name,description,major,size,impact,momentum,website,blurb
Congressional Art Competition,"The Congressional Art Competition is a nationwide contest where students submit their artwork for a chance to have it displayed in the United States Capitol building for one year. The competition is open to all high school students and provides an opportunity for young artists to showcase their talents on a national stage. The winner of the competition also receives a scholarship and the chance to attend a reception in Washington, D.C. The purpose of the competition is to recognize and encourage artistic talent across the country. It is a prestigious event that allows students to gain recognition for their creative abilities and potentially launch a career in the arts.",Art,2,1,1,https://www.house.gov/educators-and-students/congressional-art-competition,A competition where students create and submit original artwork to be displayed in a government building.
Doodle 4 Google,The Doodle 4 Google Competition is an art activity where participants create a unique design for the Google logo based on a specific theme. The major of the activity is to showcase creativity and artistic talent by incorporating the theme into a visually appealing and original design. The winning design will be featured on the Google homepage for a day and the winner will receive a scholarship and technology grant for their school.,Art,3,2,1,https://doodles.google.com/d4g/,Students create original artwork for a design contest.
National Geographic Photo Contest,"The National Geographic Student Photo Contest is a photography competition that allows students to submit their original photographs for a chance to be featured in National Geographic magazine. Participants can capture and submit images of landscapes, wildlife, people, and cultures from around the world. This activity provides students with the opportunity to showcase their photography skills and creativity on a national platform. It also encourages students to explore different cultures and environments through the lens of a camera. The contest aims to inspire young photographers to document and appreciate the beauty and diversity of the world around them.",Art,3,2,1,https://www.nationalgeographic.com/contests,Students submit photos to a contest for a chance to be featured in a well-known magazine.
National Art Honor Society,"The National Art Honor Society is an organization that recognizes and encourages students with a strong interest and talent in the visual arts. Members have the opportunity to participate in various art-related activities, such as community service projects, art exhibitions, and workshops. The main goal of the National Art Honor Society is to promote artistic excellence and foster creativity among its members.",Art,2,2,2,https://www.arteducators.org/national-art-honor-societies,"A club for students with a passion for art, where they can participate in artistic projects and community service."
Scholastic Art and Writing Awards,"The Scholastic Art and Writing Awards is a national program that recognizes and encourages the artistic talents of high school students. It provides a platform for students to submit their creative works in various categories such as visual arts, photography, poetry, and short stories. The program aims to celebrate and showcase the artistic achievements of young individuals, providing them with the opportunity to gain recognition and potentially earn scholarships. It also offers students the chance to have their work reviewed by professionals in the arts and literary fields, creating a valuable learning experience.",Art,2,2,1,https://www.artandwriting.org/,A national art and writing competition for students.
Sony World Photography Competition,"The Sony World Photography Awards Youth Competition is a global photography contest that invites young people from all over the world to submit their best photographs. The competition aims to showcase the creativity and talent of young photographers and provide them with a platform to gain recognition for their work. Participants can submit their photographs in various categories, such as landscape, portrait, street photography, and more. The competition provides an opportunity for young photographers to compete at an international level and have their work evaluated by professional photographers and industry experts. It is a chance for young photographers to gain exposure and potentially kickstart their careers in photography.",Art,2,2,1,https://www.worldphoto.org/sony-world-photography-awards/youth,Students submit original photographs for a chance to win a competition.
Vans Custom Culture Art Competition,"The Vans Custom Culture Art Competition is a nationwide contest that encourages participants to design and create custom artwork on a pair of Vans shoes. The competition aims to promote creativity and self-expression through art, and to provide a platform for young artists to showcase their talent. The major of the activity is to inspire students to think outside the box and use their artistic skills to transform a blank canvas into a unique and original piece of wearable art. Participants have the opportunity to compete for a chance to win prize money for their school's art program, as well as have their designs featured on Vans shoes.",Art,3,2,1,https://customculture.vans.com/,Students create designs for a specific type of footwear and compete for a chance to have their designs produced and sold.
FBLA,"FBLA, or Future Business Leaders of America, is an organization that focuses on developing leadership and business skills in its members. Through FBLA, students have the opportunity to participate in a wide range of activities, including business competitions, community service projects, and networking events. The major of the activity is business, and participants can expect to gain valuable skills in areas such as public speaking, project management, and entrepreneurship. FBLA provides a platform for students to explore their interests in business and gain practical experience that can benefit them in their future careers.",Business,3,2,1,https://www.fbla.org/,A business organization for students to develop leadership and career skills.
B of A Student Leaders Program,"The Bank of America Student Leaders Program is a program designed to provide young adults with the opportunity to gain real-world experience and develop leadership skills in the field of business. Participants will have the chance to work with professionals at Bank of America and partner organizations, engage in leadership training, and take part in a paid summer internship. This program offers valuable insight into the world of business and provides students with the tools and knowledge to succeed in a professional setting.",Business,2,2,1,https://about.bankofamerica.com/en/making-an-impact/student-leaders,A program that provides students with leadership and professional development opportunities.
The Berkeley Academic Year Program,"The Berkeley Academic Year Program is a business-focused academic program designed to provide students with a comprehensive understanding of various business principles and practices. Through a combination of lectures, workshops, and hands-on projects, participants will gain insight into topics such as marketing, finance, management, and entrepreneurship. This program offers a unique opportunity to develop essential skills for future success in the business world.",Business,1,2,1,https://haas.berkeley.edu/business-academy/academic-year-program/,A program focused on business education and real-world experience.
Business Professionals of America,"Business Professionals of America (BPA) is an organization that provides high school students with the opportunity to develop leadership, academic, and technological skills. The major focus of BPA is on preparing students for careers in business and related fields. Members participate in various competitions, workshops, and conferences that allow them to gain real-world experience and practical knowledge in areas such as finance, accounting, marketing, and management. Through these activities, students can network with industry professionals, enhance their resume, and build valuable skills for their future careers.",Business,3,2,1,https://bpa.org/,A club that provides students with opportunities to develop leadership and business skills through competitions and networking.
DECA ,"DECA is a business organization that allows students to develop key business and marketing skills through hands-on activities, competitions, and real-world experience. Students in DECA learn about marketing, entrepreneurship, finance, hospitality, and management, and have the opportunity to network with professionals in the business world. The organization provides students with the opportunity to apply what they learn in the classroom to real-world situations, preparing them for future careers in the business and marketing fields.",Business,3,2,1,https://www.deca.org/,A business-focused club that provides students with opportunities to develop leadership and entrepreneurship skills through competitions and networking.
GATSVI Clubs and Venture Challenge,"GATSVI Clubs and Venture Challenge is a business activity that focuses on entrepreneurship and innovation. Students work in teams to develop and pitch business ideas, solve real-world business challenges, and compete in a business venture challenge. This activity provides an opportunity for students to develop their business and leadership skills, network with professionals, and gain practical experience in the business world. It is a great way for students interested in business to apply classroom knowledge to real-life situations and gain valuable experience in the field.",Business,2,1,1,https://www.gatsvi.org/,Students participate in entrepreneurial clubs and compete in a business venture challenge.
Wharton Future of Business,"The Wharton Future of the Business World Program is a program designed to provide students with an in-depth understanding of the business world. Participants will have the opportunity to explore a variety of business topics including finance, marketing, entrepreneurship, and management. Through lectures, workshops, and hands-on projects, students will gain practical skills and knowledge that are essential for success in the business field. This program offers a valuable insight into the different aspects of business and can help students make informed decisions about their future career paths.",Business,2,2,1,https://globalyouth.wharton.upenn.edu/programs-courses/future-of-the-business-world/,A program focused on exploring the future of business through workshops and case studies.
Wharton Leadership in Business,"The Wharton Leadership in the Business World Program is a summer program for students interested in the field of business. This program offers a comprehensive curriculum focused on business leadership, entrepreneurship, and management. Participants have the opportunity to learn from top business faculty, engage in hands-on team projects, and network with industry professionals. This program provides a valuable introduction to the business world and helps students develop essential skills for a future career in business.",Business,2,2,1,https://globalyouth.wharton.upenn.edu/programs-courses/leadership-in-the-business-world/,A program focused on developing leadership skills and business acumen for students.
