name,description,major,size,impact,momentum,website,blurb
Key Club,"Future Engineers Competition is an annual engineering competition where participants are tasked with solving a real-world engineering challenge. Students work in teams to design, build, and test their solutions, which are then judged based on creativity, functionality, and effectiveness. The competition is a great opportunity to apply engineering principles in a hands-on setting and to gain practical experience in problem-solving and innovation. It also provides a platform for students to showcase their skills and knowledge in the field of engineering.",Community Service,3,2,1,https://www.keyclub.org/,A volunteer organization that focuses on community service and leadership development.
Model United Nations,"Model United Nations is a simulation of the United Nations where participants take on the roles of delegates from different countries and engage in debates and negotiations on various global issues. The goal is to reach consensus and find solutions to real-world problems such as climate change, human rights, and international conflicts. Participants research and represent the policies of their assigned countries, learning about diplomacy, international relations, and the complexities of global politics. It is a challenging and educational experience that helps develop critical thinking, public speaking, and negotiation skills.",International relations,3,2,1,https://www.un.org/en/mun,A simulation of international diplomacy and decision-making processes.
4H Club,"The 4H Club is an agriculture-based activity that focuses on teaching students about various aspects of agriculture, including animal husbandry, horticulture, and leadership skills. Members have the opportunity to participate in hands-on projects such as raising animals or growing plants, as well as attending workshops and competitions related to agricultural practices. This club provides valuable knowledge and skills for those interested in pursuing a career in the agricultural industry.",Agriculture,2,1,1,https://4-h.org/,A club that focuses on agriculture and animal husbandry projects.
HOSA,"HOSA, which stands for Health Occupations Students of America, is a student organization that provides opportunities for high school students to explore careers in the healthcare industry. Through HOSA, students have the chance to participate in various activities and competitions related to healthcare, such as medical terminology, nursing assisting, and biomedical debate. This allows students to gain valuable skills and knowledge in the field of healthcare and prepare for future careers in areas such as nursing, medicine, and public health.",Healthcare,3,2,1,https://hosa.org/,A high school program that provides hands-on experience in healthcare professions.
FIRST Robotics,"FIRST Robotics is a program that allows students to engage in hands-on engineering and problem-solving challenges. Participants work in teams to design, build, and program a robot to compete in a series of tasks and challenges. The activity focuses on applying principles of science, technology, engineering, and math (STEM) to real-world problems. Students have the opportunity to work with industry professionals and gain experience in project management, teamwork, and critical thinking. It provides a platform for students to develop practical skills in a collaborative and competitive environment.",Engineering,3,2,1,https://info.firstinspires.org/,"Students design, build, and program robots to compete in a series of challenges."
NSDA,"The NSDA (National Speech & Debate Association) is a high school communication activity that focuses on public speaking and debate. Students participate in various events such as original oratory, extemporaneous speaking, and Lincoln-Douglas debate. The purpose of the activity is to improve communication skills, critical thinking, and research abilities. Participants have the opportunity to compete at local, regional, and national levels, gaining valuable experience and recognition in the field of communication.",Communication,3,2,1,https://www.speechanddebate.org/nationals/,A competitive event where students present speeches and engage in debates.
ACM,"ACMis is a computer science activity that focuses on problem-solving and programming. It involves participating in coding competitions, learning new programming languages, and working on real-world projects. The major of the activity is to develop critical thinking skills and improve coding abilities. Participants have the opportunity to collaborate with peers and gain practical experience in computer science.",Computer Science,3,2,1,https://www.acm.org/,A competition where students solve complex coding problems.
Science Olympiad,"The Science Olympiad is a competitive science-based event that tests students' knowledge and skills in various scientific disciplines such as biology, chemistry, physics, and earth science. Participants compete in a series of events that challenge their critical thinking, problem-solving, and teamwork abilities. The activities range from written tests to hands-on experiments and engineering challenges. The Science Olympiad aims to foster an interest in science and technology while promoting collaboration and academic excellence.",Science,3,2,1,https://www.soinc.org/,A competitive event where students engage in various science-related challenges and experiments.
MITES Summer,"MITES Summer is a program offered by the Massachusetts Institute of Technology (MIT) that focuses on engineering. This program provides students with the opportunity to engage in hands-on engineering projects, take part in workshops and seminars, and receive mentorship from professors and industry professionals. Participants will also have the chance to explore various engineering disciplines and gain valuable insight into the field. Overall, MITES Summer offers a comprehensive and immersive experience for students interested in pursuing a career in engineering.",Engineering,2,2,1,https://mites.mit.edu/,A summer program for students interested in engineering and technology.
RSI,"RSI, or Research Science Institute, is a program that offers high school students the opportunity to engage in cutting-edge scientific research in the field of engineering. Participants work with leading researchers and experts in the field to gain hands-on experience and insight into the latest developments in engineering. The program aims to provide students with a deeper understanding of engineering principles and methodologies through intensive research projects and mentorship. Students have the chance to explore various subfields within engineering, such as electrical, mechanical, civil, and biomedical engineering, and to develop their problem-solving and critical thinking skills. RSI is a highly competitive and prestigious program that provides a unique opportunity for high school students to immerse themselves in the world of engineering research.",Engineering,2,3,1,https://www.cee.org/programs/research-science-institute,A summer research program for high school students with a focus on engineering and scientific research.
